id;Marka;Model;Sztuk_sprzedanych_pierwsze_30_dni;cena_wysylka30A;Data_wystawienia_aukcji;CA_NAME_5;fea_30;bld_30;hli_30;dpg_30;sa_30;48h_30;sma_30;bgn_30;top_seller_sales_30m;unique_sellers30m;sum_tr_quantity30m;sum_tr_quantity6030m;sum_tr_quantity9060m;sum_tr_quantity12090m;sum_tr_quantity150120m;sum_tr_quantity180150m;cena_z_wysylka30m;mp_fea;mp_bld;mp_hli;mp_dpg;mp_sa;mp_48h;mp_sma;mp_bgn;top3_sales_30m;ILE_AUKCJI_W_DNIU_DEBIUTU_FIRMA;ILE_AUKCJI_Z_WYZSZA_CENA_W_DNIU_DEBIUTU_FIRMA;ILE_AUKCJI_Z_ROWNA_CENA_W_DNIU_DEBIUTU_FIRMA;ILE_AUKCJI_Z_NIZSZA_CENA_W_DNIU_DEBIUTU_FIRMA;sez_IND
2;babyliss;3038E;21;105;05.11.2018;Lok?ki;1;1;1;0;1;1;1;0,733333333;19;5;45;23;36;23;18;40;108,65;0,8;0;0;0;0,977777778;1;0;0;39;13;13;0;0;1,514411183
3;babyliss;6614E;27;180;05.11.2018;Suszarki do w?os?;1;1;1;0;1;0,066666667;1;0,933333333;4;5;8;15;12;10;7;14;199,4975;0,5;0,5;0;0;0,875;0,875;0;0;6;8;8;0;0;1,475192512
7;babyliss;AS130E;40;139;05.11.2018;Lok?ki;1;1;1;0;1;0,125;1;0,833333333;6;5;11;2;7;5;10;11;141,2254545;0,090909091;0;0;0;0,909090909;0,818181818;0;0;9;13;12;1;0;1,514411183
8;babyliss;CurlSecret C1100E;498;306,75;23.11.2018;Lok?ki;1;1;1;0;1;0,111111111;1;0;58;21;226;113;138;185;135;178;317,4179646;0,898230088;0,022123894;0,146017699;0,013274336;0,491150442;0;0;0,261061947;116;28;26;1;1;3,134277585
9;babyliss;D371E;5;165,0967742;05.11.2018;Suszarki do w?os?;1;1;1;0;1;1;1;0;2;2;3;1;3;0;0;0;173,3266667;0,333333333;0;0;0;0,666666667;1;0;0;3;9;8;0;1;1,475192512
11;babyliss;E875E LCD;9;205,9677419;05.11.2018;Maszynki do strzy?enia;1;1;1;0;1;0,714285714;1;0;5;6;17;12;22;17;25;18;221,9982353;0,823529412;0,294117647;0;0;1;0,941176471;0;0;13;11;11;0;0;1,334557375
13;babyliss;IPL G930E;8;745,8421053;05.11.2018;Depilatory;1;1;1;0;1;0,75;1;1;1;2;2;4;4;2;1;2;682;0;0;0;0;1;0,5;0;0;2;6;2;2;2;1,136842105
18;babyliss;ST292E;11;218,4516129;05.11.2018;Prostownice;1;1;1;0;1;0,444444444;1;0;2;1;2;1;1;0;0;11;212;0;0;0;0;1;1;0;0;4;3;2;0;1;1,305760929
19;babyliss;ST326E;47;79;05.11.2018;Prostownice;1;1;1;0;1;0;1;0;16;5;23;42;17;20;20;15;88,38173913;0,869565217;0,695652174;0;0;0,956521739;1;0;0;21;13;12;0;1;1,305760929
20;babyliss;ST327E;14;95,12903226;05.11.2018;Prostownice;1;1;1;0;1;0,454545455;1;0,181818182;7;11;45;20;28;23;15;25;99,742;0,644444444;0,155555556;0;0;0,888888889;0;0;0;19;23;17;1;5;1,305760929
21;babyliss;ST389E;24;165;05.11.2018;Prostownice;1;1;1;0;1;1;1;0;27;6;43;52;36;46;55;43;180,9893023;0,953488372;0;0;0;1;1;0;0;39;15;15;0;0;1,305760929
22;babyliss;ST95E;91;291,1;01.12.2017;Prostownice;1;1;1;1;0;1;1;0,333333333;5;9;20;17;26;29;16;12;323,85;0,9;0;0;0;0,95;0;0;0;11;0;0;0;0;2,190079227
23;babyliss;TW1100E;3;133;05.11.2018;Lok?ki;1;1;1;0;1;0;1;0;2;2;3;1;2;0;0;0;138,3333333;0;0;0;0;1;1;0;0;3;6;4;1;1;1,514411183
25;bellissima;11307;20;287,7837838;01.12.2018;Lok?ki;1;1;1;0;1;0;1;0;21;2;23;0;0;0;0;0;289,4343478;0,869565217;0,782608696;0;0;1;0,913043478;0;0;23;3;0;3;0;2,866876959
36;botti;HB-718N;10;86;12.12.2018;Miksery i blendery;1;1;1;0;1;0;1;0;7;2;8;1;5;3;1;0;95,24875;1;0;0;0;1;1;0;0;8;5;5;0;0;1,441656096
38;botti;HM-001;3;49;12.12.2018;Miksery i blendery;1;1;1;0;1;1;1;0;2;2;3;1;1;0;0;0;50,23333333;0;0;0;0;1;1;0;0;3;3;3;0;0;1,441656096
42;botti;KE0101 Punto Verde;1;102,764375;13.12.2018;Czajniki;1;1;1;0;1;0;1;0;2;2;3;5;2;1;2;0;109,3266667;0,333333333;0;0;0;0,666666667;0,666666667;0;0;3;16;13;0;3;1,245125911
43;botti;KE0201 Bianco;17;126,1967213;12.12.2018;Czajniki;1;1;1;0;1;0;1;0;0;0;0;0;4;0;1;3;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;3;3;0;0;1,243650091
44;botti;KE0201 Nero;15;126,1967213;12.12.2018;Czajniki;1;1;1;0;1;0;1;0;1;1;1;0;3;1;1;0;162;0;0;0;0;0;0;0;0;1;2;2;0;0;1,243650091
48;botti;PC150A Cortland;11;267,8681319;12.12.2018;Sokowir?ki;1;1;1;0;1;0;1;0,5;38;8;82;40;27;33;23;20;271,0469512;0,890243902;0;0;0;1;0,951219512;0;0,43902439;72;16;12;2;2;1,359030837
50;botti;Punto Verd CM0111;6;126,0819672;12.12.2018;Ekspresy przelewowe;1;1;1;0;1;0;1;0;1;1;1;4;1;0;1;1;143;0;0;0;0;0;0;0;0;1;9;9;0;0;1,485189821
51;botti;SBL-1216;4;99;12.12.2018;Suszarki do grzyb? i owoc?;1;1;1;0;1;0;1;0;0;0;0;1;6;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;2;1;1;0;0,536194316
52;botti;SW-801 Bari;6;95;12.12.2018;Tostery i opiekacze;1;1;1;0;1;0;1;0;4;1;4;1;0;0;0;0;95,99;0,75;0;0;0;1;1;0;0;4;2;2;0;0;1,603081655
53;botti;TR0101 Punto Rosso;1;121;12.12.2018;Tostery i opiekacze;1;1;1;0;1;0;1;0;1;1;1;3;0;0;0;0;101,99;0;0;0;0;1;1;0;0;1;6;5;0;1;1,603081655
54;botti;TR0101 Punto Verde;3;121;12.12.2018;Tostery i opiekacze;1;1;1;0;1;0;1;0;7;2;8;5;5;4;2;0;123,36625;0,875;0;0;0;0;0;0;0;8;6;6;0;0;1,603081655
55;botti;XJ-2K960 Clara;5;71,67741935;12.12.2018;Frytownice;1;1;1;0;1;0;1;0;4;1;4;3;0;0;2;0;99;1;0;0;0;1;1;0;0;4;2;2;0;0;1,556867375
56;botti;YK-823A;2;96;12.12.2018;Czajniki;1;1;1;0;1;0;1;0;3;5;9;2;3;4;0;3;90,65888889;0;0;0;0;0,555555556;0;0;0;7;15;3;0;12;1,243650091
57;botti;YK-868 Florence;19;92;12.12.2018;Czajniki;1;1;1;0;1;0;1;0;3;1;3;1;1;0;0;0;93,99;0;0;0;0;0;0;0;0;3;5;5;0;0;1,243650091
58;botti;YK-868 Palermo;10;92;12.12.2018;Czajniki;1;1;1;0;1;1;1;0;13;3;18;22;22;9;15;2;94,26777778;0,611111111;0;0;0;0,277777778;0;0;0;18;4;4;0;0;1,243650091
59;botti;YK-868 Verona;31;87;12.12.2018;Czajniki;1;1;1;0;1;0;1;0;7;3;12;4;5;5;3;3;90,73416667;0;0;0;0;0,833333333;0;0;0;12;8;8;0;0;1,243650091
60;braun;130 Trymer;45;98,53703704;12.11.2018;Golarki;1;1;1;0;1;0,357142857;1;0;8;7;29;21;20;23;16;8;98,60793103;0,965517241;0,068965517;0,068965517;0;0,75862069;1;0;0;19;10;6;1;3;1,933712063
61;braun;3030s;16;283,8387097;01.12.2018;Golarki;1;1;1;0;1;0;1;0,142857143;5;3;7;0;0;0;0;0;314;0,857142857;0;0;0;0,857142857;0,285714286;0;0;7;9;6;1;2;2,458436415
62;braun;3080s;16;404,2580645;01.12.2018;Golarki;1;1;1;0;1;0;1;0;2;2;3;3;2;0;0;0;439,9966667;1;0;0,666666667;0;0,333333333;0,333333333;0,666666667;0,333333333;3;6;4;0;2;2,458436415
64;braun;3270;43;153,137931;19.11.2018;Depilatory;1;1;1;0;1;0,117647059;1;0,117647059;5;5;15;14;16;33;53;40;147,398;0,333333333;0;0;0;1;0,933333333;0;0;13;31;21;2;8;2,445429363
65;braun;3D Oral-B;788;69;10.12.2018;Szczoteczki elektryczne;1;1;1;0;1;0;1;0;189;85;1632;619;712;876;750;639;111,4809498;0,819240196;0,227328431;0,144607843;0,004901961;0,925245098;0;0;0;803;381;258;2;121;2,105034349
66;braun;3D White;226;70,54545455;24.11.2018;Szczoteczki elektryczne;1;1;1;0;1;0;1;0;6;2;7;5;9;5;12;16;95,12714286;0;0;0;0;1;0,857142857;0;0;7;11;10;0;1;2,911972941
67;braun;5040;18;558,5652174;10.12.2018;Golarki;1;1;1;0;1;0;1;0;2;4;6;4;9;3;16;20;549,6666667;0,5;0,166666667;0,166666667;0;0,833333333;0;0;0;5;9;6;1;2;1,918237073
